Architect|Borough|DateDesignated|LPCId|LPNumber|Name|ObjectType|PhotoStatus|PhotoURL|Street|Style
Unknown|Brooklyn|10/14/1965|1|LP-00001|Pieter Claesen Wyckoff House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0001.jpg|5816 Clarendon Road|Dutch Colonial
Unknown|Brooklyn|10/14/1965|2|LP-00002|Commandant's House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0002.jpg|Evans Street At Little Street|Federal
Martin E. Thompson|Brooklyn|10/14/1965|3|LP-00003|U.S. Naval Hospital|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0003.jpg|Hospital Road|Greek Revival
Helmle & Huberty|Brooklyn|10/14/1965|4|LP-00004|Boathouse|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0004.jpg|Prospect Park|Eclectic Italian Renaissance
Unknown|Queens|10/14/1965|5|LP-00005|Kingsland Homestead|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0005.jpg|143-35 37Th Avenue|Dutch Colonial
Unknown|Manhattan|10/14/1965|6|LP-00006|Old Merchant's House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0006.jpg|29 East 4Th Street|Federal
Unknown|Manhattan|10/14/1965|7|LP-00007|Nicholas and Elizabeth Stuyvesant Fish House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0007.jpg|21 Stuyvesant Street|Federal
Unknown|Manhattan|10/14/1965|8|LP-00008|William and Rosamond Clark House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0008.jpg|51 Market Street|Federal
Unknown|Manhattan|9/9/1969|9|LP-00009|Irad Hawley House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0009.jpg|47 Fifth Avenue|Italianate
Seth Greer|Manhattan|10/14/1965|10|LP-00010|428 Lafayette Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0010.jpg|428 Lafayette Street|Greek Revival
Seth Greer|Manhattan|10/14/1965|11|LP-00011|430 Lafayette Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0011.jpg|430 Lafayette Street|Greek Revival
Seth Greer|Manhattan|10/14/1965|12|LP-00012|432 Lafayette Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0012.jpg|432 Lafayette Street|Greek Revival
Seth Greer|Manhattan|10/14/1965|13|LP-00013|434 Lafayette Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0013.jpg|434 Lafayette Street|Greek Revival
Alexander Saeltzer; Griffith Thomas,|Manhattan|10/26/1965|16|LP-00016|Astor Library|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0016.jpg|425 Lafayette Street|Rundbogenstil
John P. Gaynor|Manhattan|11/23/1965|17|LP-00017|E. V. Haughwout Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0017.jpg|488-492 Broadway|Anglo Italianate
King & Kellum|Manhattan|10/26/1965|18|LP-00018|Friends Meeting House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0018.jpg|144 East 20Th Street|Italianate
Cass Gilbert|Manhattan|10/14/1965|20|LP-00020|United States Custom House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0020.jpg|Bowling Green|Beaux Arts
Richard P. Smyth|Staten Island|10/14/1965|22|LP-00022|Sailors' Snug Harbor, Building A|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0022.jpg|914-1000 Richmond Terrace|Greek Revival
Minard Lafever|Staten Island|10/14/1965|23|LP-00023|Sailors' Snug Harbor, Building B|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0023.jpg|914-1000 Richmond Terrace|Greek Revival
Minard Lafever|Staten Island|10/14/1965|24|LP-00024|Sailors' Snug Harbor, Building C|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0024.jpg|914-1000 Richmond Terrace|Greek Revival
Minard Lafever|Staten Island|10/14/1965|25|LP-00025|Sailors' Snug Harbor, Building D|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0025.jpg|914-1000 Richmond Terrace|Greek Revival
Richard P. Smyth|Staten Island|10/14/1965|26|LP-00026|Sailors' Snug Harbor, Building E|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0026.jpg|914-1000 Richmond Terrace|Greek Revival
James Solomon|Staten Island|10/14/1965|27|LP-00027|Sailors' Snug Harbor, Chapel|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0027.jpg|912 Richmond Terrace|Italianate
Jonathan Williams; John McComb, Jr.|Manhattan|11/23/1965|29|LP-00029|Castle Clinton|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0029.jpg|Battery Park|N/A
Unknown|Manhattan|11/23/1965|30|LP-00030|Fraunces Tavern|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0030.jpg|54 Pearl Street|Colonial Revival
John McComb, Jr.|Manhattan|11/23/1965|36|LP-00036|James Watson House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0036.jpg|7 State Street|Georgian
Trowbridge & Livingston|Manhattan|12/21/1965|39|LP-00039|J. P. Morgan & Co. Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0039.jpg|23 Wall Street|Neoclassical
Isaiah Rogers|Manhattan|12/21/1965|40|LP-00040|National City Bank Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0040.jpg|55 Wall Street|Greek Revival
Unknown|Manhattan|12/21/1965|42|LP-00042|Hanover Bank|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0042.jpg|1 Hanover Square|Anglo Italianate
Town & Davis; Samuel Thompson, William Ross, John Frazee|Manhattan|12/21/1965|47|LP-00047|United States Custom House|Individual Landmark|FALSE||28 Wall Street|Greek Revival
Richard Upjohn|Manhattan|8/16/1966|48|LP-00048|Trinity Church and Graveyard|Individual Landmark|FALSE||Broadway At Wall Street|Gothic Revival
James B. Baker|Manhattan|1/18/1966|53|LP-00053|Chamber of Commerce of the State of New York|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0053.jpg|65 Liberty Street|Beaux Arts
York & Sawyer|Manhattan|12/21/1965|54|LP-00054|Federal Reserve Bank of New York|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0054.jpg|33 Liberty Street|Renaissance Revival
Philip Embury|Manhattan|12/21/1965|55|LP-00055|John Street Methodist Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0055.jpg|44 John Street|Anglo Italianate
